name,1st_srv_won.1,2nd_srv_won.1,srv_rtg.1,ret_pct_won.1,rtn_rtg.1,gms_pct_won.1,tie_brk_won.1,set_pct_won.1,mtch_pct_won.1
Bjorn Fratangelo,0.6529,0.5568,312.7,0.3522,134.1,0.4621,,,
Dudi Sela,0.642,0.5112,292.8,0.3854,148.7,0.4654,,0.425,0.3571
Ricardas Berankis,0.6706,0.497,302.2,0.385,144.7,0.477,0.3636,0.4118,0.4
Radu Albot,0.6171,0.4784,294.4,0.3853,148.3,0.4589,,,
Teymuraz Gabashvili,0.7132,0.4713,310.2,0.3823,148.2,0.4938,0.4545,0.4301,0.3714
Frank Dancevic,0.7405,0.5309,347,0.3223,119.8,0.5059,,,
Taro Daniel,0.6649,0.4965,310,0.3757,145.5,0.4742,0.4,0.4265,0.3846
Marius Copil,0.7446,0.5518,336.8,0.3503,139.8,0.5035,,,
Steve Darcis,0.7306,0.5164,312.2,0.3831,143.4,0.5033,,,
Vincent Millot,0.6894,0.4954,322.5,0.3762,145.5,,,,
Tatsuma Ito,0.6614,0.5381,305.4,0.3653,145.2,,,,
Albert Montanes,0.7212,0.5512,322.2,0.3362,132.3,0.4942,,,
James Duckworth,0.7363,0.5236,339.1,0.3443,132.1,0.4985,,,
Andrey Rublev,0.6787,0.5509,311.1,0.3493,136.7,,,,
Jared Donaldson,0.7306,0.511,305.5,0.3681,143.1,0.4854,,,
Lukas Lacko,0.7052,0.5038,315.8,0.328,143.1,0.47,,,
Adrian Ungur,0.6401,0.4833,299.6,0.3359,142.5,0.4299,,,
Marsel Ilhan,0.6875,0.4659,294.5,0.3684,142.4,0.4517,,,
Maximo Gonzalez,0.6134,0.5102,309.8,0.3857,128.1,,,,
Mirza Basic,0.7305,0.5281,337.3,0.335,126.1,0.4894,,,
Roberto Carballes Baena,0.6812,0.4962,308.9,0.3703,142,0.4701,,,
Henri Laaksonen,0.7011,0.5229,307.2,0.3752,141.7,0.4892,,,
Paul Henri Mathieu,0.6971,0.4966,313,0.3625,139.5,0.4883,0.5625,0.4787,0.4865
Pierre Hugues Herbert,0.7578,0.5063,328.9,0.3229,127.2,0.4877,0.4375,0.4464,
Jozef Kovalik,0.6634,0.5229,314.4,0.3698,139.8,0.4875,0.2,,
Daniel Evans,0.6972,0.5169,325.9,0.3546,131.3,0.4871,0.6,0.4915,
Daniel Brands,0.7326,0.507,342.4,0.338,129.5,,,,
Mikhail Kukushkin,0.6529,0.4869,306.6,0.3713,141.5,0.46,0.5,0.4096,0.3824
Samuel Groth,0.7618,0.451,328.2,0.2993,109.9,0.4461,0.1429,,
Taylor Harry Fritz,0.7328,0.4773,327.6,0.345,126.7,0.4837,0.5,0.4271,0.4054
Thomas Fabbiano,0.632,0.4453,293.9,0.3741,141.2,0.453,,,
Yen Hsun Lu,0.7264,0.5267,326.1,0.3401,128.2,0.4826,,,
Victor Estrella,0.6502,0.5,318.9,0.3494,141.1,0.4715,0.4545,0.44,0.4138
Janko Tipsarevic,0.74,0.4986,317.4,0.3453,128,0.4806,0.3333,,
Joao Sousa,0.6966,0.4766,311.5,0.3743,140.5,0.4804,0.4,0.4528,0.4333
Hyeon Chung,0.6626,0.5092,305.6,0.3783,140.9,0.4726,,0.3922,0.381
Denis Istomin,0.6979,0.5021,316.8,0.3602,134.7,0.479,0.5,0.4198,0.3
Thomaz Bellucci,0.6952,0.5248,311.7,0.3757,139.4,0.4789,0.6111,0.4554,0.4419
Santiago Giraldo,0.6961,0.4948,315.9,0.3687,140.5,0.4779,,0.4483,0.3913
Guillermo Garcia Lopez,0.7084,0.4945,312.9,0.3641,132.1,0.4778,0.6667,0.4427,0.4151
Aljaz Bedene,0.7368,0.4916,323.5,0.3573,130.9,0.4775,0.5789,0.4146,0.3871
Nikoloz Basilashvili,0.6719,0.4775,295.3,0.3645,139.9,0.4548,,,
Sergiy Stakhovsky,0.7357,0.4905,315,0.3423,127.9,0.4772,0.3077,0.4138,0.3636
Illya Marchenko,0.7265,0.4618,314.7,0.3555,135.9,0.4768,0.5263,0.42,0.4054
Tim Smyczek,0.6895,0.5008,315.5,0.3672,139.7,0.4713,,,
Quentin Halys,0.7249,0.4345,328.5,0.3418,130.4,0.4758,,,
Robin Haase,0.7279,0.497,324.4,0.3539,127.1,0.4747,0.4737,0.4066,0.3889
Lukas Rosol,0.7177,0.517,336.7,0.3277,121.5,0.4743,0.5909,0.4273,0.4
Konstantin Kravchuk,0.7095,0.5024,337.9,0.3573,127.6,,,,
Marco Trungelliti,0.6606,0.5124,315.4,0.3714,138.9,,,,
Ernests Gulbis,0.739,0.4758,321,0.3424,127.2,0.4724,,0.3654,0.3333
Ramkumar Ramanathan,0.7128,0.5071,320.5,0.3348,129,0.4722,,,
Daniel Gimeno Traver,0.6675,0.4685,297.2,0.3553,138.7,0.4526,,,
Florian Mayer,0.7103,0.465,320.6,0.3537,132.8,0.472,,0.4182,0.4545
Facundo Bagnis,0.6526,0.4766,299.2,0.3767,138.2,0.4592,,,
Julien Benneteau,0.7011,0.5114,324.8,0.3542,125.6,0.4706,,0.3966,0.3333
Rajeev Ram,0.7173,0.4989,328.5,0.3383,117.6,0.4697,0.6842,0.4133,0.4
Frances Tiafoe,0.6878,0.5367,319.1,0.3481,130.3,0.4677,,,
